U238Pb206,errU238Pb206,Pb207Pb206,errPb207Pb206,Pb208Pb206,errPb208Pb206,Th232U238
250,7.4,0.464,9.4,1.8,7.4,4.44
80.6,7.4,0.679,9.2,1.92,7.4,5.3
256.4,13.6,0.485,9.8,1.74,13.6,4.19
163.9,13.8,0.641,11,1.57,13.8,1.25
147.1,8.4,0.619,20,1.69,8.4,1.75
64.5,6.6,0.726,7.8,1.99,6.4,6.43
151.5,7.4,0.571,9.4,1.71,7.4,3.15
116.3,8.6,0.666,11,1.87,8.6,1.68
270.3,7,0.554,9.8,3.52,6.98,14.97
100,9.2,0.615,12,2.37,9.2,10.77
263.2,9.2,0.511,12,1.66,9.2,2.34
270.3,8.58,0.35,30,4.26,8.6,17.32
66.2,11,0.775,5.6,3.06,10.8,26.71
47.6,6.4,0.804,7.2,2.36,6.2,16.04
238.1,12,0.45,12,8.33,12,50.7
69.9,6.2,0.747,7.4,2.1,6.2,5.09
30.6,4,0.79,4.8,2.14,4,10.51
303,9.58,0.37,15,2.25,9.6,7.21
140.8,5.8,0.573,14,2.4,5.8,10.02
98,6.2,0.617,8.2,2.34,6.2,12.24
