Pb64,err,Pb74,err,rho
11.896,0.004,13.367,0.006,0.95
12.399,0.004,13.505,0.005,0.95
14.916,0.004,14.15,0.005,0.95
13.481,0.004,13.771,0.005,0.95
12.057,0.024,13.366,0.027,0.95
11.855,0.024,13.292,0.027,0.95
11.709,0.012,13.251,0.015,0.95
13.077,0.014,13.769,0.018,0.95
11.687,0.023,13.235,0.026,0.95
11.696,0.023,13.206,0.026,0.95
11.844,0.024,13.309,0.027,0.95
13.314,0.027,13.821,0.028,0.95
11.737,0.023,13.207,0.026,0.95
12.228,0.024,13.416,0.027,0.95
11.498,0.023,13.139,0.026,0.95
11.526,0.023,13.197,0.026,0.95
11.575,0.023,13.221,0.026,0.95
11.518,0.023,13.197,0.026,0.95
11.712,0.023,13.257,0.027,0.95
11.714,0.023,13.227,0.026,0.95
12.045,0.024,13.316,0.027,0.95
11.728,0.023,13.218,0.026,0.95
11.642,0.023,13.163,0.026,0.95
12.047,0.024,13.438,0.027,0.95
12.854,0.026,13.554,0.027,0.95
11.95,0.024,13.383,0.027,0.95
12.101,0.024,13.468,0.027,0.95
11.934,0.024,13.283,0.027,0.95
13.026,0.026,13.671,0.027,0.95
11.996,0.024,13.366,0.027,0.95
12.179,0.024,13.396,0.027,0.95
11.704,0.023,13.257,0.027,0.95
12.632,0.025,13.633,0.027,0.95
12.178,0.024,13.531,0.027,0.95
12.296,0.025,13.469,0.027,0.95
11.96,0.024,13.4,0.027,0.95
11.924,0.024,13.302,0.027,0.95
12.217,0.003,13.49,0.005,0.95
12.799,0.003,13.641,0.005,0.95
11.63,0.004,13.228,0.005,0.95
